state_name,state,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Phase-In Rate 3 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Maximum Credit 3 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,EITC Phase-Out Rate 3 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation
SD,42,1992,708698,344908,11854,3.3,,,,14886,,,12991533,5953,20368,7223,54683,19267,357,404,450,111,203,292,370,548,670,780,1454,422,15,437,512,106,15.1,0,24,46,0.34,17,18,0.49,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,4.25,11706,2709,149,8848,64230,21411,33415,10931,103825,9545,893,12090
TN,43,1992,5013999,2297364,159815,6.5,,,,111660,,,94249674,59564,266125,95179,701642,279981,142,185,226,111,203,292,370,345,477,596,12831,422,0,422,501,858,17.0,1,56,43,0.57,20,13,0.61,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,4.25,159026,38615,2008,118403,785231,120873,230664,34341,577969,112345,9240,149790
TX,44,1992,17650479,8317300,688036,7.6,,,,416401,,,335301604,134600,757948,265819,2453964,890625,158,184,221,111,203,292,370,361,476,591,48782,422,0,422,501,3282,18.3,1,92,56,0.62,22,8,0.73,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,3.35,345186,124369,5461,215356,2024554,466280,1137793,133601,2061390,525268,29197,625239
UT,45,1992,1821498,845770,43083,4.8,,,,35602,,,29924984,116374,51829,17882,123198,44379,323,402,470,111,203,292,370,524,668,794,1916,422,5,427,505,172,9.4,0,31,44,0.41,10,19,0.34,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,4.25,16306,2052,305,13949,137264,50225,60901,27866,218690,8207,922,10573
VT,46,1992,570115,288803,18768,6.1,,,,12538,,,11117833,2782,28987,10047,53530,23290,567,673,755,111,203,292,370,695,858,993,535,422,65,487,547,61,10.5,0,73,75,0.49,16,14,0.53,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.280,,,1,4.25,4.25,11503,2318,128,9057,77502,15436,15337,3321,47340,3486,346,5365
VA,47,1992,6383315,3186823,213476,6.3,,,,158990,,,143870747,75076,188442,70677,495464,205888,294,354,410,111,203,292,370,497,635,752,12840,422,0,422,501,592,9.5,1,59,39,0.60,30,10,0.75,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,4.25,110086,29255,1603,79228,515064,103732,189174,36069,565358,83597,7300,114316
WA,48,1992,5139011,2442480,193332,7.3,,,,134469,,,114253674,876097,273466,96407,431489,177771,428,531,624,111,203,292,370,597,759,902,13270,422,28,450,521,574,11.2,1,58,40,0.59,24,25,0.49,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,4.25,74699,12188,892,61619,568673,73062,153657,32312,390906,57158,3521,69110
WV,49,1992,1805462,690770,88112,11.3,,,,30410,,,29317122,480253,118609,40469,309606,117140,201,249,312,111,203,292,370,404,541,682,4229,422,0,422,501,401,22.3,1,74,26,0.74,33,1,0.97,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,4.25,54745,8642,713,45390,308034,42469,86531,14730,185661,51276,5499,76017
WI,50,1992,5004636,2549773,137382,5.1,,,,112972,,,101190913,17417,243857,81680,333977,123182,440,517,617,111,203,292,370,606,749,897,10080,422,92,514,566,560,10.9,0,58,41,0.59,19,14,0.58,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.050,0.250,0.750,1,4.25,4.25,98186,20481,1175,76530,440136,82702,137811,30887,471080,19708,976,23406
WY,51,1992,463491,225504,13355,5.6,,,,13179,,,9072027,73351,18935,6625,33434,12249,320,360,390,111,203,292,370,522,639,738,549,422,20,442,515,49,10.3,1,22,42,0.34,10,20,0.33,0.0000,0.1760,0.1840,0.1840,0,1324,1384,1384,0.0000,0.1257,0.1314,0.1314,0.000,,,0,4.25,1.60,4548,734,59,3755,42401,10716,15911,5204,58413,3131,394,4338
AL,1,1993,4193114,1856754,147151,7.3,,,,84563,,,76199461,52631,139752,51559,560047,215850,137,164,194,111,203,292,370,340,456,564,13579,434,0,434,513,725,17.4,0,82,23,0.78,28,7,0.80,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,155734,42496,1611,111627,521539,120762,262728,39431,547189,99798,6847,121959
AK,2,1993,596993,272709,22723,7.7,,,,23284,,,14837766,12094,36388,12129,43115,14299,821,923,1025,143,262,376,477,1006,1192,1364,905,434,374,808,878,52,9.1,0,23,17,0.58,10,10,0.50,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.75,5909,1204,109,4596,65079,11997,19766,4657,44005,4362,515,6095
AZ,3,1993,3993390,1824253,124774,6.4,,,,89300,,,76430689,227798,196539,69997,488650,178461,275,347,418,111,203,292,370,478,633,761,12828,434,0,434,513,615,15.4,0,27,33,0.45,17,13,0.57,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,63033,12985,817,49231,404030,90255,201425,27653,362058,85664,5389,100967
AR,4,1993,2423743,1105538,72386,6.1,,,,47566,,,41722523,24607,72714,26565,285026,106444,162,204,247,111,203,292,370,365,496,617,6614,434,0,434,513,484,20.0,1,90,9,0.91,31,4,0.89,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,90582,23335,1186,66061,339451,83519,143453,22642,306060,80288,6482,104863
CA,5,1993,31147208,13817032,1444167,9.5,,,,826447,,,718212128,1633657,2462489,859284,2865833,1075496,504,624,743,111,203,292,370,654,827,988,223455,434,186,620,643,5803,18.2,0,47,33,0.59,25,13,0.66,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,994213,335845,22602,635766,4833824,658466,1501559,141261,2222598,546561,18351,595651
CO,6,1993,3560884,1828679,102463,5.3,,,,95659,,,80953444,346894,123244,42543,272618,107551,280,356,432,111,203,292,370,483,639,771,5146,434,56,490,552,354,9.9,1,27,38,0.42,12,23,0.34,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,3.00,51055,9556,514,40985,280664,58967,112446,25277,294330,28033,1980,36299
CT,7,1993,3272325,1676578,119138,6.6,,,,107680,,,97514376,129028,161506,57315,215387,92752,549,680,792,111,203,292,370,685,866,1023,5530,434,313,747,732,277,8.5,0,87,64,0.58,20,16,0.56,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.27,40233,7597,525,32111,333685,65735,83737,14792,219614,29124,1968,37305
DE,8,1993,699475,357777,19077,5.1,,,,23509,,,16547403,14099,27672,11395,57885,21439,270,338,407,111,203,292,370,473,627,753,2424,434,0,434,513,73,10.2,1,17,24,0.41,15,6,0.71,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,9696,1684,124,7888,68934,15075,22714,3130,60784,9943,469,12251
DC,9,1993,576358,288925,26931,8.5,,,,45356,,,17910334,19632,66706,24784,86536,40676,321,409,499,111,203,292,370,524,676,817,4882,434,15,449,523,158,26.4,,,,,,,,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,18836,3453,204,15179,120256,16130,39360,1866,46383,14155,340,15019
FL,10,1993,13713593,6274934,481600,7.1,,,,304403,,,304269718,237139,694535,254006,1499857,606197,241,303,364,111,203,292,370,444,595,723,38225,434,0,434,513,2507,17.8,1,74,46,0.62,22,18,0.55,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,292769,93638,3260,195871,1744945,259084,662358,86747,1158968,266123,13725,305275
GA,11,1993,6894092,3271285,209493,6.0,,,,171659,,,139467777,57783,398329,141279,807337,314877,235,280,330,111,203,292,370,438,572,699,22356,434,0,434,513,919,13.5,1,145,35,0.81,45,11,0.80,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,3.25,186808,47024,2648,137136,955262,196035,394971,61360,933338,176825,15222,231471
HI,12,1993,1161508,560114,26290,4.5,,,,36732,,,29472164,21533,55876,18339,102953,43758,550,693,835,182,335,480,609,860,1105,1333,1406,434,5,439,621,91,8.0,1,45,6,0.88,22,3,0.88,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,5.25,16967,6898,159,9910,109970,22159,34661,9928,142878,13419,2091,24748
ID,13,1993,1101204,520963,33143,6.0,,,,23100,,,20486623,75059,21295,7938,79275,28645,254,315,357,111,203,292,370,457,607,718,872,434,65,499,558,150,13.1,1,28,56,0.33,21,21,0.50,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,14477,2000,142,12335,99515,30598,46820,14856,137750,12557,1170,17197
IL,14,1993,11725984,5620733,451751,7.4,,,,320079,,,275770452,43331,688864,231262,1179488,493429,268,367,414,111,203,292,370,471,647,758,24145,434,0,434,513,1600,13.6,0,72,46,0.61,31,28,0.53,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,244950,35029,2526,207395,1395566,214325,483709,54392,934700,125122,4825,142733
IN,15,1993,5701965,2789531,158776,5.4,,,,132108,,,115567139,24254,210821,73013,496641,184281,229,288,346,111,203,292,370,432,580,710,7859,434,0,434,513,704,12.2,1,52,48,0.52,24,26,0.48,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,3.35,81976,10247,1135,70594,564952,136933,174511,32043,597654,41574,2417,52151
IA,16,1993,2820525,1496789,62924,4.0,,,,63386,,,54137967,8628,101079,36672,196106,78444,361,426,495,111,203,292,370,554,688,815,4001,434,0,434,513,290,10.3,0,55,45,0.55,29,21,0.58,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.065,,,0,4.25,4.65,39379,6581,1015,31783,289211,57222,87373,26512,378941,22594,2479,35321
KS,17,1993,2547605,1266875,66217,5.0,,,,58953,,,53382924,43198,88072,30179,188305,73482,352,429,497,111,203,292,370,548,690,816,4059,434,0,434,513,327,13.1,1,63,62,0.50,18,22,0.45,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,2.65,32997,4904,395,27698,242896,52288,90972,27852,307958,25003,2956,34936
KY,18,1993,3792288,1691208,112094,6.2,,,,81618,,,67907191,158243,224833,82799,530494,199652,196,228,285,111,203,292,370,399,520,655,12903,434,0,434,513,763,20.4,1,68,32,0.68,27,11,0.71,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,145668,26702,1881,117085,617759,110607,220507,35932,508491,111492,9839,149159
LA,19,1993,4284749,1753214,144738,7.6,,,,95866,,,76204711,48012,262703,90019,778742,282286,138,190,234,111,203,292,370,341,482,604,17449,434,0,434,513,1119,26.4,1,89,16,0.85,34,5,0.87,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,170483,36302,2293,131888,751242,124363,377112,46490,671203,184572,10699,218326
ME,20,1993,1238256,583220,45634,7.3,,,,25202,,,23767774,10887,67447,23854,138492,60997,337,453,569,111,203,292,370,537,707,866,1148,434,10,444,520,196,15.4,0,97,54,0.64,21,14,0.60,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,27817,6366,284,21167,168812,26700,41146,9453,104736,11687,1190,16770
MD,21,1993,4942504,2494151,164293,6.2,,,,125515,,,125464844,286988,221190,80199,374522,159059,280,359,432,111,203,292,370,483,641,771,10927,434,0,434,513,479,9.7,1,116,25,0.82,38,9,0.81,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.500,,,0,4.25,4.25,73529,16462,810,56257,444673,80860,149041,23479,344504,47226,3527,56262
MA,22,1993,6010884,2952583,221718,7.0,,,,173527,,,154466285,64188,325431,114441,442739,188822,446,539,628,111,203,292,370,613,767,908,12666,434,129,563,603,641,10.7,0,118,37,0.76,25,15,0.63,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,148615,47117,4519,96979,764933,101836,168865,20874,431774,66163,2109,76437
MI,23,1993,9529240,4400201,342262,7.2,,,,226368,,,201354672,184990,688127,229585,1022140,419037,371,459,563,111,203,292,370,561,711,862,17636,434,14,448,523,1475,15.4,0,61,49,0.55,18,20,0.47,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,3.35,192390,25162,2178,165050,1171548,188069,314063,43114,732689,53573,1910,61667
MN,24,1993,4521709,2391535,124840,5.0,,,,117947,,,99215504,130958,191466,64145,316972,131429,437,532,621,111,203,292,370,607,763,903,5167,434,81,515,570,506,11.6,0,78,56,0.58,46,21,0.69,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.150,,,1,4.25,4.25,54881,10255,761,43865,425478,87160,132165,40565,506771,37667,3040,48608
MS,25,1993,2635574,1134735,80398,6.6,,,,47340,,,41442376,20566,171745,60079,536897,199891,96,120,144,111,203,292,370,299,412,514,12790,434,0,434,513,639,24.7,0,98,23,0.81,43,9,0.83,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,134318,35951,1563,96804,504498,107293,260446,30152,408734,127673,8134,149237
MO,26,1993,5237757,2517067,167139,6.2,,,,118906,,,107142686,38493,261463,89906,590573,233832,234,292,342,111,203,292,370,437,584,708,10620,434,0,434,513,832,16.1,1,99,64,0.61,23,11,0.68,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,105042,19227,1113,84702,609386,111780,200123,35128,550537,80474,6127,106446
MT,27,1993,839876,397102,25544,6.0,,,,16054,,,15256962,123253,34596,11738,70320,27148,310,390,470,111,203,292,370,513,663,797,930,434,0,434,513,127,14.9,0,61,39,0.61,29,21,0.58,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,12406,1781,129,10496,89041,18876,30954,7886,85286,7247,717,9512
NE,28,1993,1612149,840575,23819,2.8,,,,39353,,,33310646,6346,48247,16746,113355,45105,293,364,435,111,203,292,370,496,645,773,3531,434,28,462,533,169,10.3,1,,,,,,,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,19523,3379,253,15891,164663,32519,53631,19247,201577,12045,1155,15696
NV,29,1993,1380197,716242,52651,6.8,,,,40039,,,32961951,394584,35223,13006,93410,42334,289,348,407,111,203,292,370,492,634,753,2125,434,36,470,538,141,9.8,1,22,19,0.54,10,10,0.50,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,16789,5350,547,10892,88428,21502,35450,6494,87860,15207,979,20099
NH,30,1993,1122191,579593,37895,6.1,,,,27362,,,25787395,75982,29483,11021,60361,25598,451,516,575,111,203,292,370,617,751,871,868,434,27,461,532,112,9.9,0,125,268,0.32,11,13,0.46,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,8980,1389,96,7495,79332,19219,20274,6111,86880,4962,540,9098
NJ,31,1993,7874891,3713835,305542,7.6,,,,240389,,,217231771,184342,349388,125930,530524,218308,322,424,488,111,203,292,370,525,687,810,18701,434,31,465,535,866,10.9,1,22,58,0.28,13,27,0.33,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,5.05,134285,34800,1176,98309,793634,129233,228565,34682,499251,51877,2601,59994
NM,32,1993,1614937,705726,52863,7.0,,,,36876,,,28522697,27372,95392,31279,243666,84740,258,324,389,111,203,292,370,461,616,740,3525,434,0,434,513,282,17.4,1,49,21,0.70,26,16,0.62,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,39993,9823,620,29550,240690,48392,112162,17230,178866,41359,3009,49421
NY,33,1993,18140894,8026518,689074,7.9,,,,537504,,,469767241,1358086,1196589,432788,2045033,942724,468,577,687,111,203,292,370,629,794,949,42586,434,86,520,573,2981,16.4,1,95,55,0.63,26,35,0.43,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,536018,139921,3944,392153,2742494,402692,892336,107152,1583972,277321,16857,328009
NC,34,1993,6947412,3446119,182243,5.0,,,,168006,,,140620670,37878,334761,130736,627025,253185,236,272,297,111,203,292,370,439,564,667,21445,434,0,434,513,966,14.4,1,81,39,0.68,36,14,0.72,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,174526,45289,2602,126635,898416,168927,310734,60192,740585,155824,13863,196706
ND,35,1993,637229,310061,13866,4.3,,,,13049,,,11562828,115216,18518,6494,48329,18802,326,401,491,111,203,292,370,529,671,812,634,434,0,434,513,70,11.2,0,48,58,0.45,27,26,0.51,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,8600,1982,95,6523,62087,18519,22679,7484,89869,4801,511,7838
OH,36,1993,11070385,5136613,364692,6.6,,,,259612,,,230239933,1917500,718701,257903,1269258,534813,279,341,421,111,203,292,370,482,629,763,35650,434,0,434,513,1461,13.0,0,61,38,0.62,12,21,0.36,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,214038,23022,2543,188473,1490983,243682,372472,55349,950241,120172,4302,135910
OK,37,1993,3228829,1442202,90985,5.9,,,,65552,,,58123375,281191,138059,48483,370287,145839,251,324,402,111,203,292,370,454,616,750,7152,434,60,494,555,662,19.9,1,68,33,0.67,37,11,0.77,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,69954,16968,977,52009,386531,81395,165995,37196,363098,77152,9688,103773
OR,38,1993,3034490,1487375,112454,7.0,,,,69409,,,62320110,114535,117697,42591,282882,123128,395,460,565,111,203,292,370,578,712,864,6051,434,2,436,514,363,11.8,1,28,32,0.47,20,10,0.67,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.75,42571,7036,636,34899,325233,63756,98767,21378,246031,41475,3261,52963
PA,39,1993,12022128,5491547,412752,7.0,,,,281704,,,266038429,353679,607870,205435,1186045,518420,330,421,514,111,203,292,370,532,685,828,22205,434,32,466,535,1598,13.2,1,107,94,0.53,24,26,0.48,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,236354,42841,2811,190702,1223080,232932,350257,64495,959735,92458,5556,116378
RI,40,1993,997852,481774,40470,7.7,,,,23566,,,22307228,11237,61727,22191,92284,40373,449,554,632,111,203,292,370,615,778,911,2137,434,64,498,558,108,11.2,1,89,11,0.89,45,5,0.90,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.275,,,0,4.25,4.45,21309,5011,224,16074,191138,18758,30208,3530,55819,6151,85,6537
SC,41,1993,3634507,1696624,133059,7.3,,,,76158,,,65498742,101708,146626,53314,394274,145524,159,200,240,111,203,292,370,362,492,610,13677,434,0,434,513,678,18.7,0,79,43,0.65,33,13,0.72,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,103812,26262,1794,75756,470416,108769,223734,31244,449208,108612,8116,134401
SD,42,1993,716258,353208,12268,3.4,,,,16105,,,13585823,6931,20104,7203,55942,19950,357,404,450,111,203,292,370,551,673,783,1450,434,15,449,523,102,14.2,0,25,45,0.36,17,18,0.49,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,12515,2652,148,9715,69606,22608,34314,10881,105368,10689,1086,13655
TN,43,1993,5085666,2380485,146402,5.8,,,,119568,,,100336091,59832,310872,107865,773727,316882,142,185,226,111,203,292,370,345,477,596,14752,434,0,434,513,998,19.6,1,57,42,0.58,20,13,0.61,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,167590,36889,1995,128706,908943,121051,242527,34964,583419,118100,9638,157242
TX,44,1993,17996764,8530187,657374,7.2,,,,443775,,,354794103,144649,781622,278657,2657148,974025,158,184,221,111,203,292,370,361,476,591,52116,434,0,434,513,3177,17.4,1,93,57,0.62,22,9,0.71,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,3.35,370719,126703,5558,238458,2308443,541965,1194229,133854,2091313,547778,30468,651214
UT,45,1993,1875993,902780,38186,4.1,,,,38631,,,32312390,120363,52613,18443,132535,47456,323,402,470,111,203,292,370,526,672,797,2132,434,5,439,516,203,10.7,0,31,44,0.41,10,19,0.34,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,18199,2157,307,15735,148131,53580,71956,30426,247750,12587,1520,16657
VT,46,1993,574004,296457,16121,5.2,,,,13027,,,11538472,3009,28547,10009,57959,25315,554,659,740,111,203,292,370,689,851,986,866,434,57,491,553,59,10.0,1,73,75,0.49,15,15,0.50,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.280,,,1,4.25,4.25,12176,2243,123,9810,80564,16220,16274,3589,47916,4768,456,6966
VA,47,1993,6464795,3201717,177073,5.2,,,,167688,,,151326509,76694,194326,73650,534755,224640,294,354,410,111,203,292,370,497,638,755,15464,434,0,434,513,627,9.7,1,58,41,0.59,22,18,0.55,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,117809,29363,1603,86843,575929,119326,201224,37361,565679,91494,8259,125064
WA,48,1993,5247704,2494999,197271,7.3,,,,142500,,,120065517,919092,288076,101310,462491,191385,440,546,642,111,203,292,370,609,772,918,14238,434,28,462,533,634,12.1,1,58,40,0.59,24,25,0.49,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,81634,12558,890,68186,633364,80759,167163,34131,403080,63295,3990,76218
WV,49,1993,1816179,697021,82789,10.6,,,,31881,,,30399534,546285,118995,41383,322480,124050,201,249,312,111,203,292,370,404,541,682,5970,434,0,434,513,400,22.2,1,74,26,0.74,33,1,0.97,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,4.25,60202,8369,736,51097,347014,43360,94971,15950,198293,55881,6011,81780
WI,50,1993,5055318,2623303,130994,4.8,,,,120024,,,106442538,16949,236860,79989,337317,125455,440,517,617,111,203,292,370,609,752,900,11625,434,93,527,578,636,12.6,0,58,41,0.59,19,14,0.58,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.050,0.250,0.750,1,4.25,4.25,106198,20110,1201,84887,471103,93668,143282,32669,476400,21970,1175,26410
WY,51,1993,469033,229895,12973,5.3,,,,13791,,,9580114,78597,18238,6509,34228,12516,320,360,390,111,203,292,370,523,642,741,721,434,10,444,520,64,13.3,1,22,42,0.34,10,20,0.33,0.0000,0.1850,0.1950,0.1950,0,1434,1511,1511,0.0000,0.1321,0.1393,0.1393,0.000,,,0,4.25,1.60,5154,710,60,4384,46262,11340,16802,5394,57732,3800,450,5236
AL,1,1994,4232965,1900856,125836,6.2,,,,90098,,,80680540,49874,132067,50340,544905,212995,137,164,194,112,206,295,375,343,459,569,16140,446,0,446,533,704,16.4,1,82,23,0.78,28,7,0.80,0.0765,0.2360,0.3000,0.3000,306,2038,2528,2528,0.0765,0.1598,0.1768,0.1768,0.000,,,0,4.25,4.25,161666,40396,1537,119733,543537,121561,265892,40816,550872,106925,7735,132332
AK,2,1994,600624,279471,22900,7.6,,,,23605,,,15326225,11203,37998,12759,45871,15357,821,923,1025,147,271,388,492,1033,1222,1397,836,446,374,820,909,61,10.2,0,23,17,0.58,10,10,0.50,0.0765,0.2360,0.3000,0.3000,306,2038,2528,2528,0.0765,0.1598,0.1768,0.1768,0.000,,,0,4.25,4.75,6389,1205,108,5076,68854,15318,20958,4920,45853,4654,552,6454
